timestamp ms,type,amount,price
1624924828936000,1,0.83685897,420.4400
1624924886676000,1,15.20000000,420.1200
1624924886927000,1,12.00000000,420.1100
1624924920305000,0,1.17831893,419.8100
1624924966374000,1,2.38088570,419.7300
1624924966374000,1,3.89071430,419.7200
1624924966589000,1,4.98690000,419.7200
1624925044958000,0,1.76000000,421.3700
1624925077726000,1,0.65342209,421.9900
1624925116857000,0,6.08000000,422.8300
1624925175698000,0,8.80000000,423.3000
1624925175705000,0,3.85604684,423.3000
1624925422050000,0,2.36056000,423.9400
1624925422317000,0,0.00000162,423.9400
1624925453063000,0,4.94480000,424.5800
1624925520282000,1,0.20000000,423.9400
1624925552277000,1,0.40000000,423.4100
1624925695003000,0,4.96339000,422.5000
1624925697205000,0,0.00000355,422.5000
1624925747370000,1,8.80000000,422.5200
1624925979858000,0,0.00008487,424.5800
1624925979958000,0,5.50000000,424.7500
1624925987164000,1,0.15000234,424.4600
1624926032055000,1,0.14988685,425.1400
1624926054508000,1,0.14978642,425.8900
1624926063652000,1,0.85369726,426.0500
1624926112731000,1,4.00000000,426.8400
1624926113244000,1,7.13699000,426.8400
1624926113306000,1,1.66301000,426.8400
1624926117486000,1,15.28615000,426.4200
1624926153707000,0,1.76000000,427.1300
1624926197384000,0,1.09880872,428.0400
1624926197405000,0,1.23912567,428.0400
1624926197405000,0,1.01520000,428.2100
1624926197585000,0,2.33793439,428.2000
1624926197585000,0,2.48996561,428.2200
1624926197632000,0,17.60000000,428.1900
1624926197666000,0,0.12083685,428.1900
1624926235664000,1,5.00000000,428.5500
1624926235842000,1,1.78784000,428.5500
1624926242159000,1,2.33548000,427.7800
1624926267729000,0,2.33696000,428.3000
1624926292492000,0,2.33415807,428.7300
1624926297257000,0,2.33220921,429.0700
1624926299856000,0,1.76000000,429.3400
1624926299856000,0,2.33083934,429.3600
1624926299856000,0,7.70000000,429.4700
1624926299856000,0,5.82682827,429.5000
1624926299856000,0,0.09511609,429.5100
1624926325076000,0,2.33049000,429.4600
1624926325431000,0,0.00000169,429.4600
1624926340717000,0,2.32740001,430.0500
1624926340717000,0,5.81823093,430.0500
1624926340717000,0,7.24347314,430.0500
1624926341077000,0,4.88247955,430.1500
1624926341196000,0,2.32672853,430.1400
1624926367988000,1,1.01520000,429.2900
1624926368002000,1,10.50000000,429.2900
1624926431284000,1,6.50000000,429.1600
1624926431345000,1,3.00000000,429.1500
1624926548325000,1,3.40000000,428.9500
1624926548327000,1,8.80000000,428.9500
1624926559275000,1,8.80000000,428.4400
1624926606126000,0,2.33152407,429.2200
1624926606188000,0,3.02420000,429.2100
1624926611693000,0,4.01133000,429.6300
1624926611886000,0,0.00000952,429.6300
1624926639094000,0,1.76000000,430.8900
1624926640932000,0,1.00000000,431.0000
1624926770984000,1,0.70495843,428.4600
1624926782692000,0,0.94540162,429.3900
1624926844249000,0,2.33335000,428.8800
1624926902145000,0,4.89683000,428.3800
1624926922653000,0,0.00000250,428.3800
1624926923998000,0,13.30000000,429.0300
1624927011717000,0,15.69595843,429.0100
1624927011717000,0,4.87404157,429.0300
1624927087450000,0,2.34300000,427.2700
1624927112738000,0,4.91410000,426.9600
1624927187540000,0,2.34730000,426.3500
1624927187607000,0,0.00008478,426.3500
1624927187607000,0,4.91941522,426.3800
1624927187772000,0,0.40609408,426.3800
1624927188952000,0,2.34472085,426.7500
1624927189660000,0,1.02975733,426.8600
1624927223593000,0,2.34063768,427.6100
1624927223593000,0,1.75986232,427.6400
1624927312301000,0,4.90000000,427.9800
1624927317980000,0,0.00078794,427.9800
1624927317980000,0,1.96481206,428.0600
1624927318107000,0,0.37307860,428.0600
1624927437753000,1,8.80000000,426.9200
1624927437758000,1,1.96550000,426.9200
1624927437765000,1,7.97050000,426.9200
1624927502540000,0,3.50000000,426.8400
1624927510256000,0,8.80000000,427.2200
1624927579796000,0,2.34290000,427.1800
1624927579863000,0,0.00000802,427.1800
1624927579875000,0,2.34260000,427.2000
1624927580013000,0,2.34264000,427.1900
1624927580081000,0,1.76000000,427.1900
1624927580151000,0,1.02590000,427.1900
1624927580155000,0,0.72845670,427.1900
1624927580427000,0,1.00860000,427.3900
1624927580807000,0,1.76000000,427.3900
1624927599902000,1,2.03450000,426.8600
1624927601311000,1,6.76550000,426.8700
1624927601316000,1,0.00004684,426.8700
1624927668910000,0,7.50000000,426.5800
1624927706689000,0,5.50000000,427.2300
1624927734726000,1,4.00000000,426.9000
1624927880546000,0,2.33633000,428.4000
1624927891506000,0,1.09000000,429.5000
