timestamp ms,type,amount,price
1625356824003000,1,0.19277100,29185.3900
1625356834828000,0,0.03032521,29195.5900
1625356838254000,1,0.12677058,29169.1800
1625356850623000,0,0.15000000,29167.6500
1625356853566000,0,0.00100000,29180.9600
1625356861972000,1,0.00584500,29150.3800
1625356875360000,0,0.00133000,29168.2800
1625356885908000,1,0.00436371,29155.7300
1625356892723000,0,0.21666487,29167.1600
1625356920953000,0,0.00319171,29212.2400
1625356930028000,0,0.00099000,29225.4800
1625356976483000,0,0.00542334,29239.7500
1625357036072000,1,0.01943736,29209.3100
1625357057861000,0,0.00101413,29181.9000
1625357060643000,0,0.00197956,29177.5300
1625357081850000,0,0.03380456,29199.5300
1625357087485000,1,0.00116464,29174.0500
1625357119814000,0,0.80781767,29210.0000
1625357119816000,0,0.12047655,29210.0000
1625357119826000,0,0.06580601,29210.0000
1625357146788000,0,0.00767433,29197.2400
1625357165349000,1,0.00080200,29155.0600
1625357167880000,0,0.00100000,29171.4000
1625357204193000,0,0.04031724,29157.3200
1625357239221000,1,0.15000000,29114.7200
1625357264798000,0,0.00221415,29134.6900
1625357298578000,0,0.49705012,29130.0000
1625357307288000,0,0.01190381,29153.9200
1625357316327000,1,0.15000000,29142.1200
1625357317355000,1,0.01596701,29140.4900
1625357325631000,1,0.02400000,29137.2400
1625357393612000,0,0.00133000,29120.3100
1625357400241000,0,0.00406117,29120.2100
1625357400325000,0,0.11071932,29120.2100
1625357401398000,0,0.03000000,29123.1900
1625357406055000,0,0.00847914,29132.9000
1625357434658000,1,0.10122302,29125.9100
1625357435953000,1,0.06476000,29125.9100
1625357456801000,0,0.02235234,29139.5400
1625357462575000,1,0.15000000,29123.1400
1625357462587000,1,0.15472349,29116.4100
1625357462591000,1,0.07527651,29116.4100
1625357462942000,1,0.07308048,29111.1400
1625357463004000,1,0.00041952,29111.1400
1625357473768000,0,0.00126000,29110.1800
1625357499325000,0,0.00396604,29092.4900
1625357558871000,0,0.00469000,29083.0700
1625357642152000,0,0.00100000,29089.3400
1625357666173000,1,0.00290000,29072.9900
1625357676575000,1,0.01012100,29072.2900
1625357696583000,0,0.00133000,29075.8200
1625357719583000,0,0.21724471,29088.9300
1625357719642000,0,0.03438553,29099.7400
1625357731445000,0,0.14469953,29110.1700
1625357749578000,1,0.15000000,29099.6400
1625357760246000,0,0.00145350,29109.4600
1625357772574000,0,0.00129858,29123.6000
1625357772574000,0,0.00893056,29130.3200
1625357845901000,1,0.02886400,29145.8100
1625357851413000,1,0.00085300,29136.5800
1625357851833000,1,0.00397000,29136.5800
1625357867410000,1,0.00319100,29133.8100
1625357885571000,0,0.01015000,29154.0800
1625357902804000,0,0.07736854,29155.4900
1625357957158000,0,0.00215000,29156.4400
1625357958006000,0,0.00332000,29156.4400
1625357988349000,1,0.00251200,29136.8300
1625358000249000,0,0.00147064,29157.6200
1625358009959000,0,0.00100000,29150.7600
1625358043042000,0,0.21666159,29164.4600
1625358043042000,0,0.07222049,29166.9200
1625358043062000,0,0.07620650,29164.4500
1625358043063000,0,0.07379350,29164.4500
1625358043131000,0,0.21666159,29166.9200
1625358043131000,0,0.05000000,29172.2000
1625358043131000,0,0.09448560,29172.2100
1625358043145000,0,0.26666159,29172.2100
1625358043253000,0,0.03429755,29174.2100
