timestamp ms,type,amount,price
1627862485818000,1,1635.55513607,0.6107
1627862485829000,1,0.00000001,0.6107
1627862490732000,0,14800.00000000,0.6108
1627862492668000,1,1635.76893380,0.6105
1627862492669000,1,0.00000001,0.6105
1627862492691000,1,1636.53459283,0.6104
1627862499201000,1,1638.66737194,0.6098
1627862507377000,0,147.75119886,0.6105
1627862535677000,1,1636.73191961,0.6104
1627862577373000,1,1639.71200000,0.6094
1627862594247000,0,773.88074200,0.6089
1627862620801000,0,4837.33024210,0.6115
1627862625868000,0,1837.33020000,0.6119
1627862689297000,1,658.31031100,0.6130
1627862719663000,1,12578.93901120,0.6134
1627862720247000,0,78.89000000,0.6138
1627862736698000,0,2851.06713868,0.6132
1627862736767000,0,587.83366559,0.6132
1627862740403000,0,2491.05640000,0.6133
1627862760290000,0,186.07697262,0.6139
1627862761489000,0,1086.61100937,0.6138
1627862772703000,0,80.84493400,0.6147
1627862791024000,0,3436.40716438,0.6136
1627862821005000,1,1626.68420000,0.6138
1627862821037000,1,0.00002617,0.6138
1627862821182000,1,1627.17137000,0.6138
1627862832980000,1,1625.58866345,0.6142
1627862832980000,1,4066.56146655,0.6142
1627862854213000,1,1628.11454000,0.6137
1627862870046000,0,1272.68790000,0.6137
1627862871769000,0,3434.52517000,0.6140
1627862907791000,1,1629.28682000,0.6133
1627862916852000,0,3437.17861000,0.6135
1627863025164000,0,1395.41019500,0.6143
1627863090579000,0,1395.41010000,0.6142
1627863090647000,0,2036.74627155,0.6142
1627863100458000,0,3431.52879183,0.6144
1627863100458000,0,3276.00554261,0.6144
1627863113069000,1,1627.72751224,0.6139
1627863113069000,1,3432.06358776,0.6139
1627863119493000,0,807.73879200,0.6142
1627863135026000,0,143.20741300,0.6139
1627863151156000,0,3434.35690000,0.6139
1627863151165000,0,0.00003823,0.6139
1627863171674000,1,1627.57384807,0.6139
1627863171674000,1,5133.06238793,0.6139
1627863209000000,0,404.76466472,0.6146
1627863223189000,0,46.83678400,0.6147
1627863248549000,0,72.49480000,0.6152
1627863248598000,0,0.00000560,0.6152
1627863253801000,0,3035.76754662,0.6158
1627863254257000,1,1623.84185000,0.6153
1627863295855000,0,78.72000000,0.6151
1627863318124000,0,384.80193118,0.6141
1627863370526000,0,157.77000000,0.6140
1627863372107000,0,13750.00000000,0.6140
1627863405921000,1,1624.02118000,0.6152
1627863427338000,0,14100.00000000,0.6153
1627863508992000,1,10568.13459000,0.6144
1627863527122000,0,5366.99445000,0.6142
1627863527197000,0,5983.00555000,0.6142
1627863597368000,0,47.28000000,0.6145
1627863627037000,0,315.62000000,0.6135
1627863662606000,0,131.09310000,0.6136
1627863785415000,0,1296.00000000,0.6141
1627863816915000,0,51.81000000,0.6138
1627863840072000,0,42.33455400,0.6138
1627863840304000,0,384.20288716,0.6139
1627863870266000,1,1631.26459000,0.6121
1627863878535000,1,1634.20237000,0.6114
1627863880069000,1,1634.20237163,0.6109
1627863880069000,1,18890.74000000,0.6108
1627863880069000,1,4083.71284638,0.6108
1627863880069000,1,108.82761991,0.6108
1627863880081000,1,4299.07238009,0.6108
1627863880504000,1,4083.71284638,0.6106
1627863880504000,1,929.82574362,0.6106
1627863880551000,1,704.37662000,0.6106
1627863882660000,0,13149.99999999,0.6108
1627863888546000,0,12150.00000000,0.6112
1627863897720000,0,8204.37662000,0.6114
1627863926501000,1,1631.94070656,0.6122
1627863926838000,1,4081.43274615,0.6120
1627863926838000,1,1631.94070655,0.6120
1627863926870000,1,0.00000001,0.6120
1627863928824000,1,3441.95884000,0.6118
1627863938949000,1,1632.62292000,0.6119
1627863938955000,1,0.00000209,0.6119
1627863985576000,1,1632.56950000,0.6122
1627863990456000,1,387.29000000,0.6121
1627863992586000,1,3440.89253000,0.6120
1627864008467000,1,1633.59377000,0.6113
1627864015229000,0,6000.00000000,0.6117
1627864019702000,1,1634.56579000,0.6113
1627864023958000,0,4500.00000000,0.6117
1627864024014000,0,4000.00000000,0.6117
1627864024084000,0,4350.00000000,0.6117
1627864028947000,0,3134.34920000,0.6120
1627864035640000,0,12250.00000000,0.6126
1627864036656000,0,162.23055727,0.6133
1627864067348000,0,5000.00000000,0.6124
1627864067401000,0,4431.85415000,0.6124
1627864067456000,0,2318.14585000,0.6124
1627864123228000,0,63.35000000,0.6114
1627864192597000,0,63.35000000,0.6120
1627864192889000,0,1857.16008932,0.6120
1627864192919000,0,1347.46001068,0.6120
1627864201073000,0,126.02547900,0.6121
1627864217399000,0,2000.00000000,0.6111
1627864243054000,1,3449.35784000,0.6106
1627864243191000,1,0.00000933,0.6106
1627864243191000,1,1636.58279067,0.6105
1627864297540000,1,1633.67373000,0.6114
1627864335162000,1,49.98000000,0.6109
1627864343504000,1,3446.06364000,0.6112
1627864410466000,1,3446.58363000,0.6112
1627864411763000,0,205.86000000,0.6116
1627864419185000,1,3448.43455000,0.6108
1627864445492000,1,1636.45424530,0.6103
1627864445539000,1,1636.45424000,0.6103
1627864476007000,0,3000.00000000,0.6101
1627864476054000,0,2281.90540000,0.6101
1627864476076000,0,5000.00000000,0.6101
1627864512846000,1,1637.64661000,0.6102
1627864538878000,1,1636.39545000,0.6106
1627864556041000,1,1636.37390000,0.6106
1627864565167000,1,1637.58531804,0.6101
1627864565167000,1,1362.41468196,0.6101
1627864591458000,1,1637.71865000,0.6102
1627864598979000,1,1638.60500000,0.6096
1627864603224000,1,6599.99999999,0.6090
1627864608291000,1,3000.00000000,0.6076
1627864608328000,1,1232.06416991,0.6076
1627864608345000,1,1020.67020139,0.6076
1627864619354000,1,1641.54790000,0.6084
1627864665249000,1,1647.98115000,0.6062
1627864665324000,1,0.00000400,0.6062
1627864665324000,1,3703.79999600,0.6062
1627864700446000,1,1644.30660000,0.6074
1627864700452000,1,0.00004381,0.6074
1627864703131000,1,1644.66904000,0.6071
1627864708992000,1,1646.99870000,0.6067
1627864709035000,1,0.00001210,0.6067
1627864737697000,1,1645.47010000,0.6071
1627864737738000,1,0.00003979,0.6071
1627864740949000,1,1646.23407000,0.6068
1627864741124000,1,0.00000112,0.6068
1627864741171000,1,1645.47013978,0.6067
1627864741209000,1,1645.47013978,0.6067
1627864751680000,1,1644.87991000,0.6072
1627864777848000,0,82.37704920,0.6088
1627864779575000,1,1642.69650000,0.6081
1627864779846000,1,0.00005998,0.6081
1627864781284000,0,196.04403440,0.6083
1627864806963000,1,477.44000000,0.6081
1627864818211000,1,1641.53064000,0.6085
1627864818611000,1,0.00000950,0.6085
1627864818807000,1,1641.27832000,0.6084
1627864827533000,1,137.70444600,0.6080
1627864837999000,0,8200.13100000,0.6083
1627864846157000,1,1642.72894000,0.6082
1627864846181000,1,0.00000369,0.6082
1627864862314000,1,1644.52830000,0.6077
1627864862425000,1,0.00009280,0.6077
1627864876452000,1,1645.79497000,0.6071
1627864895615000,1,1646.86851027,0.6067
1627864895623000,1,0.00000001,0.6067
1627864895624000,1,1646.86851028,0.6066
1627864895624000,1,4071.10000000,0.6066
1627864896448000,1,1648.05720000,0.6064
1627864909007000,1,1647.72605076,0.6056
1627864909344000,1,143.20000000,0.6055
1627864915287000,0,7875.51055000,0.6056
1627864915364000,0,4174.48945000,0.6056
1627864942489000,1,1646.15261000,0.6068
1627864953565000,0,39000.00000000,0.6075
1627864953664000,0,143.20000000,0.6075
1627864953850000,0,12500.00000000,0.6075
1627864954687000,1,1646.12551000,0.6070
